Row_ID_O6G3A1_R6|Order_ID|Order_Date|Ship_Date|Ship_Mode|Customer_ID|Customer_Name|Segment|Country|City|State|Region|Product_ID|Category|Sub_Category|Product_Name|Sales|Quantity|Profit|Returns|Payment_Mode|ind1|ind2
140|CA-2019-145583|2019-10-13|2019-10-19|Standard Class|LC-16885|Lena Creighton|Consumer|United States|Roseville|California|West|FUR-FU-10001706|Furniture|Furnishings|Longer-Life Soft White Bulbs|43.119998931884766|14|20.697599411010742|#N/A|Online||
141|CA-2019-110366|2019-09-05|2019-09-07|Second Class|JD-15895|Jonathan Doherty|Corporate|United States|Philadelphia|Pennsylvania|East|FUR-FU-10004848|Furniture|Furnishings|"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"|82.80000305175781|2|10.350000381469727|#N/A|COD||
142|CA-2020-106180|2020-09-18|2020-09-23|Standard Class|SH-19975|Sally Hughsby|Corporate|United States|San Francisco|California|West|OFF-AR-10000940|Office Supplies|Art|Newell 343|116.81999969482422|3|2.3814001083374023|#N/A|COD||
143|CA-2020-106180|2020-09-18|2020-09-23|Standard Class|SH-19975|Sally Hughsby|Corporate|United States|San Francisco|California|West|OFF-EN-10004030|Office Supplies|Envelopes|Convenience Packs of Business Envelopes|119.86000061035156|3|5.1041998863220215|#N/A|COD||
144|CA-2020-106180|2020-09-18|2020-09-23|Standard Class|SH-19975|Sally Hughsby|Corporate|United States|San Francisco|California|West|OFF-PA-10004327|Office Supplies|Paper|Xerox 1911|186.6999969482422|3|68.97599792480469|#N/A|Online||
145|CA-2020-155376|2020-12-22|2020-12-27|Standard Class|SG-20080|Sandra Glassco|Consumer|United States|Independence|Missouri|Central|OFF-AP-10001058|Office Supplies|Appliances|Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators|468.42999267578125|3|218.25180053710938|#N/A|Online||
148|CA-2019-114489|2019-12-05|2019-12-09|Standard Class|JE-16165|Justin Ellison|Corporate|United States|Franklin|Wisconsin|Central|TEC-PH-10000215|Technology|Phones|Plantronics Cordless Phone Headset with In-line Volume - M214C|384.45001220703125|11|103.80149841308594|#N/A|Online||
149|CA-2019-114489|2019-12-05|2019-12-09|Standard Class|JE-16165|Justin Ellison|Corporate|United States|Franklin|Wisconsin|Central|TEC-PH-10001448|Technology|Phones|Anker Astro 15000mAh USB Portable Charger|149.97000122070312|3|5.998799800872803|#N/A|Online||
150|CA-2019-114489|2019-12-05|2019-12-09|Standard Class|JE-16165|Justin Ellison|Corporate|United States|Franklin|Wisconsin|Central|FUR-CH-10000454|Furniture|Chairs|Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back|951.8400268554688|8|585.552001953125|#N/A|Online||
151|CA-2019-114489|2019-12-05|2019-12-09|Standard Class|JE-16165|Justin Ellison|Corporate|United States|Franklin|Wisconsin|Central|OFF-BI-10002735|Office Supplies|Binders|GBC Prestige Therm-A-Bind Covers|171.5500030517578|5|80.62850189208984|#N/A|Online||
152|CA-2019-158834|2019-03-13|2019-03-16|First Class|TW-21025|Tamara Willingham|Home Office|United States|Scottsdale|Arizona|West|OFF-AP-10000326|Office Supplies|Appliances|Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection|157.9199981689453|5|17.766000747680664|#N/A|Cards||
153|CA-2019-158834|2019-03-13|2019-03-16|First Class|TW-21025|Tamara Willingham|Home Office|United States|Scottsdale|Arizona|West|TEC-PH-10001254|Technology|Phones|Jabra BIZ 2300 Duo QD Duo Corded Headset|203.1840057373047|2|15.238800048828125|#N/A|Cards||
159|CA-2019-114104|2019-11-20|2019-11-24|Standard Class|NP-18670|Nora Paige|Consumer|United States|Edmond|Oklahoma|Central|OFF-LA-10002475|Office Supplies|Labels|Avery 519|14.619999885559082|2|6.871399879455566|#N/A|Cards||
160|CA-2019-114104|2019-11-20|2019-11-24|Standard Class|NP-18670|Nora Paige|Consumer|United States|Edmond|Oklahoma|Central|TEC-PH-10004536|Technology|Phones|Avaya 5420 Digital phone|944.9299926757812|7|236.2324981689453|#N/A|COD||
161|CA-2019-162733|2019-05-11|2019-05-12|First Class|TT-21070|Ted Trevino|Consumer|United States|Los Angeles|California|West|OFF-PA-10002751|Office Supplies|Paper|Xerox 1920|5.980000019073486|1|2.690999984741211|#N/A|Online||
163|CA-2019-154508|2019-11-16|2019-11-20|Standard Class|RD-19900|Ruben Dartt|Consumer|United States|Carlsbad|New Mexico|West|OFF-EN-10001990|Office Supplies|Envelopes|Staple envelope|28.399999618530273|5|13.347999572753906|#N/A|Online||
164|CA-2019-113817|2019-11-07|2019-11-11|Standard Class|MJ-17740|Max Jones|Consumer|United States|Seattle|Washington|West|OFF-BI-10004002|Office Supplies|Binders|Wilson Jones International Size A4 Ring Binders|27.68000030517578|2|9.687999725341797|#N/A|COD||
177|US-2020-152366|2020-04-21|2020-04-25|Second Class|SJ-20500|Shirley Jackson|Consumer|United States|Houston|Texas|Central|OFF-AP-10002684|Office Supplies|Appliances|Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection|114.26399993896484|4|-243.16000366210938|#N/A|Online||
186|CA-2019-105018|2019-11-28|2019-12-02|Standard Class|SK-19990|Sally Knutson|Consumer|United States|Fairfield|Connecticut|East|OFF-BI-10001890|Office Supplies|Binders|Avery Poly Binder Pockets|7.159999847412109|2|3.436800003051758|#N/A|Cards||
188|CA-2019-157000|2019-07-16|2019-07-22|Standard Class|AM-10360|Alice McCarthy|Corporate|United States|Grand Prairie|Texas|Central|OFF-ST-10001328|Office Supplies|Storage|Personal Filing Tote with Lid, Black/Gray|37.2239990234375|3|3.722399950027466|#N/A|COD||
189|CA-2019-157000|2019-07-16|2019-07-22|Standard Class|AM-10360|Alice McCarthy|Corporate|United States|Grand Prairie|Texas|Central|OFF-PA-10001950|Office Supplies|Paper|Southworth 25% Cotton Antique Laid Paper & Envelopes|20.016000747680664|3|6.255000114440918|#N/A|Online||
198|CA-2020-107720|2020-11-06|2020-11-13|Standard Class|VM-21685|Valerie Mitchum|Home Office|United States|Westfield|New Jersey|East|OFF-ST-10001414|Office Supplies|Storage|Decoflex Hanging Personal Folder File|133.25999450683594|3|12.027600288391113|#N/A|COD||
199|US-2020-124303|2020-07-06|2020-07-13|Standard Class|FH-14365|Fred Hopkins|Corporate|United States|Philadelphia|Pennsylvania|East|OFF-BI-10000343|Office Supplies|Binders|"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"|74.94599914550781|2|-2.2585999965667725|#N/A|Online||
200|US-2020-124303|2020-07-06|2020-07-13|Standard Class|FH-14365|Fred Hopkins|Corporate|United States|Philadelphia|Pennsylvania|East|OFF-PA-10002749|Office Supplies|Paper|Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page|111.05599975585938|3|5.820300102233887|#N/A|Online||
